1	190	100
2	140	85
1	160	90
1	160	85
2	130	80
2	145	90
1	140	80
2	120	80
2	130	80
1	160	80
1	120	70
1	180	100
2	130	80
2	150	100
2	130	80
1	170	100
1	165	90
1	160	90
1	170	100
2	120	80
2	120	80
1	180	100
2	130	90
2	150	100
1	125	70
1	150	90
1	145	85
1	145	85
1	150	90
2	160	100
1	150	90
2	160	100
2	140	90
2	120	80
2	160	110
2	160	100
2	120	80
2	140	90
1	180	100
2	160	100
1	160	90
1	180	90
1	170	100
2	160	100
2	130	80
1	180	100
1	120	70
2	160	100
2	145	90
2	130	80
2	130	85
2	110	70
1	155	90
2	120	80
2	160	100
2	140	90
1	160	80
2	145	95
1	140	80
2	165	100
1	175	100
2	130	80
2	160	100
1	140	80
2	140	90
2	130	80
2	160	100
2	130	80
2	150	95
2	120	80
1	120	60
2	150	100
1	150	90
2	140	90
2	120	80
2	120	80
2	140	90
1	150	90
1	152	90
2	130	80
1	140	80
2	120	80
2	120	80
1	140	80
2	145	90
2	120	80
1	150	90
2	160	100
2	130	80
2	160	100
2	160	100
2	130	80
2	140	100
2	130	80
2	160	100
2	160	100
2	150	100
2	130	80
2	140	90
2	130	90
2	160	100
1	170	100
2	150	100
2	160	100
2	140	90
2	150	100
1	160	90
1	135	70
2	140	90
